Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Churlinov,Midfielder,Burnley,4.4,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0,1250,9,3497,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 31, 18:00",162,"Tue Dec 19, 16:15:01"
Clark,Midfielder,Liverpool,4.4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1398,12,1928,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,627,"Tue Dec 19, 16:15:01"
Connolly,Forward,Brighton,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent move to Hull City,0,0,0,3758,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 4, 09:39",127,"Tue Dec 19, 16:15:01"
Cook,Defender,Nottm Forest,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to QPR,0,0,0,2293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 10, 13:47",441,"Tue Dec 19, 16:15:01"
Costelloe,Midfielder,Burnley,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to St Johnstone,0,101,0,2841,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 17, 06:12",164,"Tue Dec 19, 16:15:01"
Coulibaly,Midfielder,Sheffield Utd,4.4,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0,4281,18,5389,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 4, 11:00",478,"Tue Dec 19, 16:15:01"
Coventry,Midfielder,West Ham,4.4,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0.1,6248,27,9195,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,529,"Tue Dec 19, 16:15:02"
Cox,Goalkeeper,Brentford,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,On loan to Bristol Rovers for the season,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Jul 26, 11:24",97,"Tue Dec 19, 16:15:01"
Cundle,Midfielder,Wolves,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Plymouth Argyle,0,0,0,1870,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 9, 08:37",550,"Tue Dec 19, 16:15:02"
Cédric,Defender,Arsenal,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.4,32662,315,36348,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,"Tue Dec 19, 16:15:01"
D.D.Fofana,Forward,Chelsea,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Joined Union Berlin on a season-long loan - Expected back 01 Jul,0,0,0,364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Tue Jul 11, 09:30",200,"Tue Dec 19, 16:15:01"
Darlow,Goalkeeper,Newcastle,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent move to Leeds Utd,0,0,0,915,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Jul 31, 07:01",408,"Tue Dec 19, 16:15:01"
Davis,Forward,Aston Villa,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Transferred to Udinese,0.1,4950,0,22696,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:12",39,"Tue Dec 19, 16:15:01"
De Fougerolles,Defender,Fulham,4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0.1,3224,25,4162,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,625,"Tue Dec 19, 16:15:01"
Dele,Midfielder,Everton,4.8,0,0,0,0,0,0,0,0,,,,0,Injured,Hip injury - Unknown return date,0,615,19,3435,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Aug 6, 23:30",248,"Tue Dec 19, 16:15:01"
Dennis,Forward,Nottm Forest,4.8,0,0,0,0,0,0,0,0,,,,0,Unavailable,On loan to Istanbul Basaksehir,0.1,6239,0,50549,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Sep 18, 10:38",443,"Tue Dec 19, 16:15:01"
Dervi?o?lu,Forward,Brentford,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Transfer to Galatasaray on a permanent basis,0,0,0,791,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Jul 19, 08:49",100,"Tue Dec 19, 16:15:01"
Dibley-Dias,Midfielder,Fulham,4.5,0,0,0,0,0,0.1,0,0,,,,25,Doubtful,Hamstring injury - 25% chance of playing,0,1029,4,978,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Oct 13, 09:30",652,"Tue Dec 19, 16:15:01"
